Name,Code,Jan,
Afghanistan,AFG,1668119,
Albania,ALB,2088163,
Algeria,ALG,3212268,
Andorra,AND,279226,
Angola,AGO,580289,
Antigua and Barbuda,ATG,5759,
Argentina,ARG,55312462,
Armenia,ARM,5076072,
Australia,AUS,88912,
Austria,AUT,12102376,
Azerbaijan,AZE,7006474,
Bahamas,BHS,249177,
Bahrain,BHR,3022735,
Bangladesh,BGD,16311378,
Barbados,BRB,32342,
Belarus,BLR,6908021,
Belgium,BEL,20983559,
Belize,BLZ,355291,
Benin,BEN,107836,
Bhutan,BTN,25294,
Bolivia,BOL,5778389,
Bosnia and Herzegovina,BIH,3632102,
Botswana,BWA,556279,
Brazil,BRA,261187142,
Brunei,BRN,5379,
Bulgaria,BGR,6550706,
Burkina Faso,BFA,275921,
Burma,MMR,4135212,
Burundi,BDI,36863,
Cabo Verde,CPV,399245,
Cambodia,KHM,13195,
Cameroon,CMR,867295,
Canada,CAN,21663417,
Central African Republic,CAF,154155,
Chad,TCD,86880,
Chile,CHL,20661911,
China,CHN,3035071,
Colombia,COL,58374546,
Comoros,COM,51485,
Congo (Brazzaville),COD,232416,
Congo (Kinshasa),COG,633392,
Costa Rica,CRI,5681017,
Cote d'Ivoire,CIV,777836,
Croatia,HRV,6921173,
Cuba,CUB,554408,
Cyprus,CYP,872089,
Czechia,CZE,26959120,
Denmark,DNK,5785270,5785270
Diamond Princess,,22072,
Djibouti,DJI,182684,
Dominica,DMA,3325,
Dominican Republic,DOM,5941766,
Ecuador,ECU,7125483,
Egypt,EGY,4792291,
El Salvador,SLV,1573181,
Equatorial Guinea,GNQ,166183,
Eritrea,ERI,54320,
Estonia,EST,1127645,
Eswatini,SWZ,394910,
Ethiopia,ETH,4052409,
Fiji,FJI,1659,
Finland,FIN,1250210,
France,FRA,91573599,
Gabon,GAB,310352,
Gambia,GMB,121312,
Georgia,GEO,7590826,
Germany,DEU,62555458,
Ghana,GHA,1813441,
Greece,GRC,4585941,
Grenada,GRD,4240,
Guatemala,GTM,4594145,
Guinea,GIN,437663,
Guinea-Bissau,GNB,77361,
Guyana,GUY,213438,
Haiti,HTI,330582,
Holy See,VAT,837,
Honduras,HND,4149890,
Hungary,HUN,10794651,
Iceland,ISL,183571,
India,IND,326908857,
Indonesia,IDN,27904068,
Iran,IRN,41044213,
Iraq,IRQ,18838341,
Ireland,IRN,4945372,
Israel,ISR,16729422,
Italy,ITA,72917277,
Jamaica,JAM,439391,
Japan,JPN,9902662,
Jordan,JOR,9694303,
Kazakhstan,KAZ,6716862,
Kenya,KEN,3065046,
Kiribati,KIR,0,
"Korea, South",KOR,2220738,
Kosovo,XKX,1720254,
Kuwait,KWT,4881830,
Kyrgyzstan,KGZ,2571550,
Laos,LAO,1292,
Latvia,LVA,1678918,
Lebanon,LBN,7586618,
Lesotho,LSO,194193,
Liberia,LBR,57740,
Libya,LBY,3375585,
Liechtenstein,LIE,73484,
Lithuania,LTU,5173306,
Luxembourg,LUX,1506358,
MS Zaandam,,279,
Madagascar,MDG,564230,
Malawi,MWI,415229,
Malaysia,MYS,4894111,
Maldives,MDV,451616,
Mali,MLI,239845,
Malta,MLT,476588,
Marshall Islands,MHL,124,
Mauritania,MRT,491063,
Mauritius,MUS,17037,
Mexico,MEX,50652332,
Micronesia,FSM,11,
Moldova,MDA,4724038,
Monaco,MCO,36725,
Mongolia,MNG,47060,
Montenegro,MNE,1704974,
Morocco,MAR,14188137,
Mozambique,MOZ,831521,
Namibia,NAM,923307,
Nepal,NPL,8268041,
Netherlands,NLD,28343170,
New Zealand,NZL,69608,
Nicaragua,NIC,190873,
Niger,NER,125511,
Nigeria,NGA,3386814,
North Macedonia,,2736461,
Norway,NOR,1785238,
Oman,OMN,4078314,
Pakistan,PAK,16029828,
Panama,PAN,9023901,
Papua New Guinea,PNG,25582,
Paraguay,PRY,3746546,
Peru,PER,32876154,
Philippines,PHL,15468721,
Poland,POL,43986631,
Portugal,PRT,17049576,
Qatar,QAT,4566164,
Romania,ROU,21284511,
Russia,RUS,108422409,
Rwanda,RWA,348874,
Saint Kitts and Nevis,KNA,1072,
Saint Lucia,LCA,20063,
Saint Vincent and the Grenadines,VCT,14455,
Samoa,WSM,62,
San Marino,SMR,85076,
Sao Tome and Principe,STP,34943,
Saudi Arabia,SAU,11315754,
Senegal,SEN,704660,
Serbia,SRB,11459767,
Seychelles,SYC,22300,
Sierra Leone,SLE,92626,
Singapore,SGP,1831362,
Slovakia,SVK,6785954,
Slovenia,SVN,4541774,
Solomon Islands,SLB,527,
Somalia,SOM,146980,
South Africa,ZAF,40240702,
South Sudan,SSD,115032,
Spain,ESP,71180786,
Sri Lanka,LKA,1640683,
Sudan,SDN,860954,
Suriname,SUR,230537,
Sweden,SWE,15946013,
Switzerland,CHE,15277220,
Syria,SYR,399586,
Taiwan*,TWN,26502,
Tajikistan,TJK,412497,
Tanzania,TZA,15779,
Thailand,THA,380681,
Timor-Leste,TLS,1705,
Togo,TGO,132772,
Trinidad and Tobago,TTO,228015,
Tunisia,TUN,5450840,
Turkey,TUR,73376598,
US,USA,730894746,
Uganda,UGA,1179121,
Ukraine,UKR,36713095,
United Arab Emirates,ARE,7811891,
United Kingdom,GBR,102180395,
Uruguay,URY,960688,
Uzbekistan,UZB,2415594,
Vanuatu,VUT,31,
Venezuela,VEN,3711664,
Vietnam,VNM,48059,
West Bank and Gaza,PSE,4668798,
Yemen,YEM,65439,
Zambia,ZMB,1112407,
Zimbabwe,ZWE,787416,
